District,candidate_name,Party,loan_amount,loan_date,payment_amount,payment_date,loan_balance,filed_date
House District 37,"CLIFFORD, CHARLES",Democratic,75000,5/27/25,,,75000,7/4/25
Senate District 04,"COLLINS III, TED (TEDDY)",Republican,50000,12/31/25,,,50000,1/6/26
HOUSE DISTRICT 44,"HARTSOOK, ANTHONY",Republican,30000,5/9/22,10000,12/27/24,20000,4/8/25
Senate District 09,"CARVER, TERRI",Republican,17000,12/31/25,,,17000,1/15/26
House District 19,"MCMILLAN, JILLAIRE",Democratic,15000,8/18/25,,,15000,10/15/25
House District 04,"ESPENOZA, CECELIA",Democratic,12500,5/25/24,,,12500,10/15/25
House District 19,"PESARAMELLI, ANIL",Democratic,11000,12/29/25,,,11000,1/14/26
Attorney General,"DOUGHERTY, MICHAEL",Democratic,10152.6,3/4/25,,,10152.6,4/15/25
Senate District 27,"LAMMON, DANIELLE",Republican,10000,9/2/25,,,10000,10/2/25
Senate District 30,"CARSON, JOHN",Republican,10000,12/30/25,,,10000,1/15/26
Governor,"BOTTOMS, SCOTT",Republican,10000,10/31/25,,,10000,1/15/26
Senate District 04,"CONRAD, KEVIN",Republican,9500,12/8/25,,,9500,1/8/26
House District 19,"PESARAMELLI, ANIL",Democratic,9000,9/30/25,,,9000,10/14/25
House District 59,"RIESS, NAOMI",Republican,7000,9/30/25,,,7000,10/15/25
Senate District 30,"CARSON, JOHN",Republican,5000,7/31/25,,,5000,10/15/25
Senate District 30,"CARSON, JOHN",Republican,5000,9/29/25,,,5000,10/15/25
CU_District 02,"LALCHANDANI, KUBS",Democratic,5000,11/11/25,,,5000,1/15/26
Governor,"BOTTOMS, SCOTT",Republican,5000,12/29/25,,,5000,1/15/26
House District 03,"BARLOW-ROACH, MICHAEL",Democratic,5000,9/1/25,,,5000,10/17/25
House District 19,"MCMILLAN, JILLAIRE",Democratic,5000,7/2/25,,,5000,10/15/25
House District 45,"BROOKS, MAX",Republican,6000,4/16/24,700,12/18/24,4250,4/15/25
House District 19,"JONJAK PLAHN, COLTON",Democratic,4000,12/16/25,,,4000,1/13/26
House District 19,"JONJAK PLAHN, COLTON",Democratic,4000,12/22/25,,,4000,1/13/26
House District 22,"DEGRAAF, KENNETH",Republican,2500,12/24/25,,,2500,1/15/26
House District 64,"SLAUGH, SCOTT",Republican,2500,8/28/25,,,2500,10/7/25
Bd. Ed. District 01,"ESCÁRCEGA, LISA",Democratic,2000,7/6/25,,,2000,10/9/25
House District 22,"PIERSON, MICHAEL",Democratic,2000,9/5/25,,,2000,10/1/25
House District 46,"POST, JONATHAN",Republican,2000,7/17/25,,,2000,10/7/25
House District 60,"GRAY, MICHELLE",Republican,2000,8/13/25,,,2000,10/6/25
House District 64,"SLAUGH, SCOTT",Republican,2000,7/8/25,,,2000,10/7/25
Senate District 15,"MARCHMAN, JANICE",Democratic,1500,12/1/23,,,1500,1/15/25
Senate District 15,"MARCHMAN, JANICE",Democratic,1500,12/1/23,1000,12/1/24,1500,1/15/25
House District 28,"REIN, DAVID",Democratic,1500,5/12/25,,,1500,7/14/25
House District 43,"MARSH, NATE",Republican,1500,10/29/25,,,1500,1/7/26
House District 54,"ANDERSON, NINA",Republican,1258.82,3/1/25,,,1258.82,4/14/25
CU_District 02,"SMITH, GEORGE",Democratic,1030.18,12/23/25,,,1030.18,1/13/26
House District 28,"REIN, DAVID",Democratic,1000,9/2/25,,,1000,10/12/25
House District 37,"CLIFFORD, CHARLES",Democratic,1000,12/4/25,,,1000,1/2/26
House District 16,"HAFFLEY, JILL",Republican,995,12/10/25,,,995,1/15/26
House District 46,"POST, JONATHAN",Republican,900,12/20/25,,,900,1/7/26
House District 46,"POST, JONATHAN",Republican,800,9/30/25,,,800,1/7/26
House District 54,"ANDERSON, NINA",Republican,664.06,6/26/25,,,664.06,7/8/25
House District 27,"VARDA, DANIELLE",Democratic,500,4/9/25,,,500,7/14/25
House District 16,"HAFFLEY, JILL",Republican,334.62,12/30/25,,,334.62,1/15/26
Senate District 09,"WILSON, LYNDA ZAMORA",Republican,105,11/5/25,,,105,1/15/26
Senate District 09,"WILSON, LYNDA ZAMORA",Republican,103.98,6/27/25,,,103.98,7/15/25
House District 13,"REDHORSE, CONSUELO",Democratic,100,9/22/25,,,100,10/16/25
House District 59,"RIESS, NAOMI",Republican,100,9/12/25,,,100,10/15/25
House District 13,"REDHORSE, CONSUELO",Democratic,96.6,9/25/25,,,96.6,10/16/25
House District 54,"ANDERSON, NINA",Republican,78.09,9/26/25,,,78.09,10/6/25
House District 54,"ANDERSON, NINA",Republican,78.09,12/29/25,,,78.09,1/7/26
House District 13,"REDHORSE, CONSUELO",Democratic,75.6,9/22/25,,,75.6,10/16/25
House District 13,"REDHORSE, CONSUELO",Democratic,50.4,9/24/25,,,50.4,10/16/25
House District 13,"REDHORSE, CONSUELO",Democratic,50.4,9/26/25,,,50.4,10/16/25
Senate District 03,"GUTIERREZ, AARON",Democratic,50,6/27/25,,,50,7/14/25
Bd. Ed. District 07,"ESSER, KARLA",Democratic,50,7/16/25,,,50,10/1/25
CU_District 02,"SMITH, GEORGE",Democratic,10.46,12/24/25,,,10.46,1/13/26
Senate District 15,"MARCHMAN, JANICE",Democratic,400,11/13/21,,,0,1/23/25
Senate District 15,"MARCHMAN, JANICE",Democratic,1000,12/1/23,,,0,1/23/25
House District 02,"NEIL, MICHAEL",Democratic,500,8/11/25,,,0,10/3/25
House District 02,"NEIL, MICHAEL",Democratic,500,8/11/25,500,9/16/25,0,10/3/25
House District 04,"ESPENOZA, CECELIA",Democratic,5000,10/31/23,5000,5/9/25,0,7/15/25
House District 36,"CARTER, MICHAEL",Democratic,916.31,5/3/24,-1000,11/27/24,0,10/15/25
House District 36,"CARTER, MICHAEL",Democratic,2000,4/24/24,1000,11/27/24,0,10/15/25
House District 43,"MARSHALL, ROBERT",Democratic,12500,7/29/22,10000,1/27/25,0,4/14/25
HOUSE DISTRICT 44,"HARTSOOK, ANTHONY",Republican,15000,1/29/24,15000,12/27/24,0,4/8/25
House District 52,"ZOKAIE, YARA",Democratic,100,3/5/23,100,11/13/24,0,1/22/25
House District 52,"ZOKAIE, YARA",Democratic,100,12/18/23,100,11/13/24,0,1/22/25
House District 52,"ZOKAIE, YARA",Democratic,393.4,8/11/23,393,11/13/24,0,1/22/25
House District 52,"ZOKAIE, YARA",Democratic,393.4,8/11/23,0.4,11/13/24,0,1/22/25
House District 52,"ZOKAIE, YARA",Democratic,239,1/10/24,239,11/13/24,0,1/22/25
House District 52,"ZOKAIE, YARA",Democratic,384,2/16/24,384,11/13/24,0,1/22/25
House District 52,"ZOKAIE, YARA",Democratic,116.27,3/1/24,116.27,11/13/24,0,1/22/25
House District 52,"ZOKAIE, YARA",Democratic,600,5/15/24,600,11/13/24,0,1/22/25
House District 58,"SUCKLA, LARRY",Republican,500,1/2/24,,,0,1/21/25
House District 58,"SUCKLA, LARRY",Republican,500,1/2/24,500,3/24/25,0,4/8/25
House District 59,"RIESS, NAOMI",Republican,106.93,9/15/25,,,0,1/14/26
House District 59,"RIESS, NAOMI",Republican,106.93,9/15/25,106.93,10/15/25,0,1/14/26
House District 59,"RIESS, NAOMI",Republican,210,10/15/25,210,10/15/25,0,1/14/26
House District 59,"RIESS, NAOMI",Republican,210,10/15/25,,,0,1/14/26
House District 59,"RIESS, NAOMI",Republican,409.1,10/30/25,,,0,1/14/26
House District 59,"RIESS, NAOMI",Republican,23.34,11/29/25,,,0,1/14/26
House District 59,"RIESS, NAOMI",Republican,24.73,12/11/25,,,0,1/14/26
House District 59,"RIESS, NAOMI",Republican,24,12/15/25,,,0,1/14/26
House District 59,"RIESS, NAOMI",Republican,78,12/15/25,,,0,1/14/26
House District 59,"RIESS, NAOMI",Republican,128.13,12/17/25,,,0,1/14/26
House District 59,"RIESS, NAOMI",Republican,298.64,12/17/25,,,0,1/14/26
House District 59,"RIESS, NAOMI",Republican,1257.1,12/31/25,,,0,1/14/26
Senate District 15,"MARCHMAN, JANICE",Democratic,-85.81,4/3/23,,,-85.81,1/23/25
Senate District 15,"MARCHMAN, JANICE",Democratic,-500,11/2/22,,,-500,1/23/25
Senate District 15,"MARCHMAN, JANICE",Democratic,-500,11/13/21,,,-500,1/23/25
House District 52,"ZOKAIE, YARA",Democratic,-600,5/21/24,,,-600,1/22/25
House District 52,"ZOKAIE, YARA",Democratic,-990,6/24/24,,,-990,1/22/25
Senate District 15,"MARCHMAN, JANICE",Democratic,-1500,12/1/23,,,-1500,1/23/25
House District 04,"ESPENOZA, CECELIA",Democratic,-15000,5/25/24,,,-15000,10/15/25
