District,candidate_name,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
House District 01,"MABREY, JAVIER",5.0,2025-01-02 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",42.16,2025-01-06 00:00:00,Go Daddy,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",31.53,2025-01-06 00:00:00,Go Daddy,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",35.92,2025-01-06 00:00:00,Walnut Cafe,Boulder,CO,80305,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",38.38,2025-01-08 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",415.63,2025-01-08 00:00:00,Yummy Hot Pot,Denver,CO,80219,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",31.53,2025-01-13 00:00:00,Go Daddy,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",107.17,2025-01-22 00:00:00,Donn Bruns,Arvada,CO,80005,Miscellaneous,
House District 01,"MABREY, JAVIER",47.99,2025-01-29 00:00:00,Go Daddy,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",56.17,2025-01-31 00:00:00,Santiago Mexican Restuarant,Denver,CO,80260,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",2.0,2025-01-31 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",5.0,2025-02-03 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",27.12,2025-02-10 00:00:00,Winchell'S Donut,Denver,CO,80219,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",31.53,2025-02-25 00:00:00,Go Daddy,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",38.38,2025-02-28 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",2.0,2025-02-28 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",5.0,2025-03-03 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",2000.0,2025-03-17 00:00:00,Dan  Cao,Berkeley,CA,94704,Consultant & Professional Services,
House District 01,"MABREY, JAVIER",31.53,2025-03-28 00:00:00,Go Daddy,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",1500.0,2025-03-28 00:00:00,Colorado Women'S Hall Of Fame,Denver,CO,80111,Contributions,
House District 01,"MABREY, JAVIER",2.0,2025-03-31 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",5.0,2025-04-01 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",154.4,2025-04-02 00:00:00,The Bronze Empire,Denver,CO,80222,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",180.66,2025-04-07 00:00:00,The Bronze Empire,Denver,CO,80222,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",53.46,2025-04-14 00:00:00,Einstein'S Bagels,Lakewood,CO,80226,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",50.0,2025-04-14 00:00:00,Veterans Of Foreign Wars Denver,Denver,CO,80227,Rent & Utilities,
House District 01,"MABREY, JAVIER",30.0,2025-04-18 00:00:00,The Irish Rover,Denver,CO,80209,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",151.45,2025-04-21 00:00:00,Com Nha Kitchen & Bar,Denver,CO,80227,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",31.53,2025-04-25 00:00:00,Go Daddy,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",38.38,2025-04-28 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",400.0,2025-04-28 00:00:00,Colorado Secretary Of State,Denver,CO,80290,Other,Campaign Finance Late Filing Penalty
House District 01,"MABREY, JAVIER",115.86,2025-04-30 00:00:00,The Bronze Empire,Denver,CO,80222,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",2.0,2025-04-30 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",5.0,2025-05-01 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",33.7,2025-05-05 00:00:00,Ratio Beerworks,Denver,CO,80205,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",121.52,2025-05-05 00:00:00,Barcelona Wine Bar,Denver,CO,80205,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",331.03,2025-05-15 00:00:00,The Asian Cajun,Denver,CO,80223,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",31.53,2025-05-27 00:00:00,Go Daddy,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",38.38,2025-05-28 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",5.0,2025-05-30 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",2.0,2025-06-02 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",61.62,2025-06-09 00:00:00,Com Nha Kitchen & Bar,Denver,CO,80227,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",1000.0,2025-06-23 00:00:00,Karen  Valenzuela,Denver,CO,80222,Consultant & Professional Services,
House District 01,"MABREY, JAVIER",46.66,2025-06-25 00:00:00,Ratio Beerworks,Denver,CO,80205,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",31.53,2025-06-25 00:00:00,Go Daddy,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",38.38,2025-06-26 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",5.93,2025-06-29 00:00:00,Actblue,Somerville,MA,02144,Fundraising Expenses,
House District 01,"MABREY, JAVIER",54.06,2025-06-30 00:00:00,Com Nha Kitchen & Bar,Denver,CO,80227,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",2.0,2025-06-30 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",5.0,2025-07-01 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",31.53,2025-07-27 00:00:00,Godaddy .Com,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",38.38,2025-07-28 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",2.0,2025-07-30 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",105.0,2025-08-01 00:00:00,Westwood Community Center,Denver,CO,80219,Other,Renting Space For A Town Hall
House District 01,"MABREY, JAVIER",5.0,2025-08-01 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",82.5,2025-08-04 00:00:00,Dirty Duck Bar,Denver,CO,80222,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",1000.0,2025-08-07 00:00:00,Colorado Democratic Party Political Committee,Denver,CO,80203,Contributions,
House District 01,"MABREY, JAVIER",1500.0,2025-08-07 00:00:00,Dan  Cao,Berkeley,CA,94704,Consultant & Professional Services,
House District 01,"MABREY, JAVIER",15.6,2025-08-11 00:00:00,Oasis Panaderia,Denver,CO,80227,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",31.53,2025-08-25 00:00:00,Godaddy .Com,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",38.38,2025-08-28 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",2.0,2025-08-29 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",5.0,2025-09-02 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",43.81,2025-09-08 00:00:00,Las Dos Americas Tortilleria,Denver,CO,80022,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",441.9,2025-09-09 00:00:00,Office Depot,Lakewood,CO,80226,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",61.25,2025-09-09 00:00:00,Office Depot,Lakewood,CO,80226,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",250.0,2025-09-13 00:00:00,National Hispanic Conference Of State Legislators,Washington,DC,20005,Miscellaneous,
House District 01,"MABREY, JAVIER",145.0,2025-09-17 00:00:00,Margaret  Gomez,Denver,CO,80205,Consultant & Professional Services,
House District 01,"MABREY, JAVIER",35.0,2025-09-18 00:00:00,Grand Hyatt,Vail,CO,81657,Travel & Lodging,
House District 01,"MABREY, JAVIER",1300.0,2025-09-18 00:00:00,Com Nha Kitchen & Bar,Denver,CO,80227,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",31.53,2025-09-27 00:00:00,Godaddy .Com,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",305.01,2025-09-28 00:00:00,Actblue,Somerville,MA,02144,Fundraising Expenses,
House District 01,"MABREY, JAVIER",38.38,2025-09-28 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",5.0,2025-09-30 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",6.49,2024-12-09 00:00:00,Canva,Austin,TX,78701,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",2.0,2024-12-31 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",5.0,2025-10-01 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",450.0,2025-10-10 00:00:00,Margaret  Gomez,Denver,CO,80205,Consultant & Professional Services,
House District 01,"MABREY, JAVIER",2000.0,2025-10-24 00:00:00,Colorado Democratic Party,Denver,CO,80203,Contributions,
House District 01,"MABREY, JAVIER",31.53,2025-10-27 00:00:00,Go Daddy,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",38.38,2025-10-28 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",5.0,2025-11-03 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",143.04,2025-11-24 00:00:00,Iron Star Bbq,Oklahoma City,OK,73118,"Food, Beverages and Meals",
House District 01,"MABREY, JAVIER",31.53,2025-11-27 00:00:00,Godaddy .Com,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",38.38,2025-11-28 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",2.0,2025-11-28 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",5.0,2025-12-01 00:00:00,First Bank,Lakewood,CO,80235,Bank Fees,
House District 01,"MABREY, JAVIER",700.0,2025-12-09 00:00:00,Karen  Valenzuela,Denver,CO,80222,Consultant & Professional Services,
House District 01,"MABREY, JAVIER",500.0,2025-12-09 00:00:00,Colorado Latino Leadership Advocacy & Research Organization,Denver,CO,80204,Contributions,
House District 01,"MABREY, JAVIER",2500.0,2025-12-12 00:00:00,Colorado House Democrats Petty Cash Fund,Denver,CO,80203,Contributions,
House District 01,"MABREY, JAVIER",30.87,2025-12-12 00:00:00,Actblue,Somerville,MA,02144,Fundraising Expenses,
House District 01,"MABREY, JAVIER",31.53,2025-12-26 00:00:00,Godaddy .Com,Scottsdale,AZ,85260,Office Equipment & Supplies,
House District 01,"MABREY, JAVIER",38.38,2025-12-29 00:00:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,
