committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
SAFE AND HEALTHY COLORADO,Issue Committee,132.55,2024-01-01 00:00:00,Google,Mountain View,CA,94043,Advertising,
SAFE AND HEALTHY COLORADO,Issue Committee,358.53,2025-01-01 00:00:00,Google,Mountain View,CA,94043,Advertising,
SAFE AND HEALTHY COLORADO,Issue Committee,114.31,2024-01-02 00:00:00,Paragon Payment Solutions,Tempe,AZ,85282,Bank Fees,
CATS AREN'T TROPHIES,Issue Committee,108.47,2025-01-02 00:00:00,Paragon Solution,Tempe,AZ,85282,Bank Fees,
COLORADANS FOR ACCOUNTABILITY,Issue Committee,750.0,2025-01-02 00:00:00,Rkg Development,Lafayette,CO,80026,Consultant & Professional Services,Compliance Consulting
COLORADANS FOR PROTECTING REPRODUCTIVE FREEDOM,Issue Committee,8600.0,2025-01-02 00:00:00,Rkg Development,Lafayette,CO,80026,Consultant & Professional Services,
COLORADANS FOR PROTECTING REPRODUCTIVE FREEDOM,Issue Committee,8000.0,2025-01-02 00:00:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
GREAT EDUCATION COLORADO ISSUE COMMITTEE,Issue Committee,500.0,2025-01-02 00:00:00,Rkg Development,Lafayette,CO,80026,Consultant & Professional Services,Compliance Consulting
SAFE AND HEALTHY COLORADO,Issue Committee,22.7,2025-01-02 00:00:00,Paragon Payment Solutions,Tempe,AZ,85282,Bank Fees,
COLORADANS FOR PROTECTING REPRODUCTIVE FREEDOM,Issue Committee,3326.31,2025-01-03 00:00:00,Corazon Printing,Broomfield,CO,80020,Other,Mugs
COLORADO LIFE INITIATIVE,Issue Committee,15.25,2025-01-03 00:00:00,Cornerstone Merchant Services,Las Vegas,NV,89117,Bank Fees,Credit Card Processing Fees 12/3/24-12/16-24
VOTER RIGHTS COLORADO,Issue Committee,1500.0,2025-01-03 00:00:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
CATS AREN'T TROPHIES,Issue Committee,2686.12,2025-01-06 00:00:00,Alpha Graphics,Glendale,CO,80246,Other,Printing
