District,candidate_name,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Senate District 01,"PELTON, BYRON",Republican,500.0,2025-01-03 00:00:00,National Western Stpck Show Sale,Denver,CO,80216,Other,8100 ∑ Gifts & Donations
Senate District 01,"PELTON, BYRON",Republican,500.0,2025-01-03 00:00:00,Pera Parking,Denver,CO,80203,Other,7229 ∑ Parking Expense
Senate District 01,"PELTON, BYRON",Republican,700.0,2025-01-03 00:00:00,Senate Republican Caucus,Denver,CO,80203,Other,7218 ∑ Dues And Subscriptions
Senate District 01,"PELTON, BYRON",Republican,400.0,2025-01-03 00:00:00,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7520 ∑ Accounting Fees
Senate District 01,"PELTON, BYRON",Republican,26.94,2025-01-06 00:00:00,Taco Bell,Fort Morgan,CO,80731,Other,7640 ∑ Meals
Senate District 01,"PELTON, BYRON",Republican,68.69,2025-01-08 00:00:00,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,"PELTON, BYRON",Republican,6.76,2025-01-08 00:00:00,,,,,Other,7640 ∑ Meals
Senate District 01,"PELTON, BYRON",Republican,85.67,2025-01-13 00:00:00,7-11,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,"PELTON, BYRON",Republican,54.76,2025-01-13 00:00:00,Safeway Fuel,Greeley,CO,80634,Other,7652 ∑ Vehicle Gas
Senate District 01,"PELTON, BYRON",Republican,52.88,2025-01-16 00:00:00,7-11,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,"PELTON, BYRON",Republican,4.61,2025-01-16 00:00:00,Taco Bell,Fort Morgan,CO,80731,Other,7640 ∑ Meals
Senate District 01,"PELTON, BYRON",Republican,60.33,2025-01-21 00:00:00,7-11,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,"PELTON, BYRON",Republican,22.97,2025-01-21 00:00:00,Starbucks,Sterling,CO,80751,Other,7640 ∑ Meals
