Office,candidate_name,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Attorney General,"ALLEN, MICHAEL",Republican,,,,,,,,
Attorney General,"DOSHI, HETAL",Democratic,7243.95,6/9/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,2000,6/13/25,Raaz Consulting,Golden,CO,80403,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,230.97,6/15/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,476.05,6/16/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,24.3,6/17/25,First Bank,Glendale,CO,80246,Bank Fees,
Attorney General,"DOSHI, HETAL",Democratic,3781.13,6/17/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,431.43,6/22/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,1500,6/23/25,Kelly  Fleming,Denver,CO,80204,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,180.03,6/23/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,843.47,6/29/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,82,6/30/25,First Bank,Glendale,CO,80246,Bank Fees,
Attorney General,"DOSHI, HETAL",Democratic,46.88,6/30/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,581.72,6/30/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,285.35,7/1/25,Corazon Printing,Broomfield,CO,80020,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,1000,7/1/25,Off-Menu Studio Llc,Brooklyn,NY,11205,Consultant & Professional Services,Design Work
Attorney General,"DOSHI, HETAL",Democratic,19681.23,7/1/25,Declaration Media Llc,Greenville,SC,29609,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,5002.5,7/1/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,3502.5,7/1/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,2652.5,7/1/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,3652.5,7/1/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,999,7/2/25,Ngp Van Inc,Washington,DC,20005,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,999,7/3/25,Ngp Van Inc,Washington,DC,20005,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,418.79,7/6/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,68.07,7/7/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,190.5,7/13/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,18.75,7/14/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,515,7/15/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,27002.5,7/16/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,25,7/18/25,Numero,Costa Mesa,CA,92626,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,109.04,7/20/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,2069.04,7/25/25,Corazon Printing,Broomfield,CO,80020,Consultant & Professional Services,Printing Services
Attorney General,"DOSHI, HETAL",Democratic,267.94,7/27/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,85,7/31/25,First Bank,Lakewood,CO,80215,Bank Fees,
Attorney General,"DOSHI, HETAL",Democratic,268.38,8/3/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,999,8/4/25,Ngp Van Inc,Washington,DC,20005,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,3502.5,8/6/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,110.86,8/10/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,1244.92,8/12/25,Robyn  Shapiro,Washington,DC,20005,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,35.99,8/13/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,
Attorney General,"DOSHI, HETAL",Democratic,3072.83,8/14/25,Gusto,San Francisco,CA,94107,Employee Services,
Attorney General,"DOSHI, HETAL",Democratic,367.14,8/17/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
Attorney General,"DOSHI, HETAL",Democratic,158.57,8/20/25,Corazon Printing,Broomfield,CO,80020,Consultant & Professional Services,Printing Services
Attorney General,"DOSHI, HETAL",Democratic,1500,8/20/25,Outlier Digital Strategies,Denver,CO,80211,Consultant & Professional Services,
