committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
COLORADO HEALTH FREEDOM PAC,Independent Expenditure Committee,1.9,2025-01-01 00:00:00,,,,,Bank Fees,Fees Taken Out Of Contributions That Were Donated-Anedot
NEW DAY COLORADO FUND,527 Political Organization,40.3,2025-01-01 00:00:00,Anedot,New Orleans,LA,70112,Bank Fees,
NEW DAY COLORADO FUND,527 Political Organization,1000.0,2025-01-01 00:00:00,Sws Polifi Llc,Fort Lupton,CO,80621,Consultant & Professional Services,
ALL TOGETHER COLORADO,527 Political Organization,3000.0,2025-01-02 00:00:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
ALL TOGETHER COLORADO,Independent Expenditure Committee,8500.0,2025-01-02 00:00:00,Blue Mountain Strategies,Denver,CO,80223,Consultant & Professional Services,
ALL TOGETHER COLORADO,Independent Expenditure Committee,10000.0,2025-01-02 00:00:00,Mountaintop Strategies,Thornton,CO,80229,Consultant & Professional Services,
ALL TOGETHER COLORADO,Independent Expenditure Committee,8000.0,2025-01-02 00:00:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
COLORADANS CREATING OPPORTUNITIES,Independent Expenditure Committee,500.0,2025-01-02 00:00:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
COLORADO HEALTH FREEDOM PAC,Independent Expenditure Committee,0.7,2025-01-02 00:00:00,,,,,Bank Fees,Fees Taken Out Of Contributions That Were Donated-Anedot
COLORADO LABOR ACTION,Independent Expenditure Committee,250.0,2025-01-02 00:00:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
COLORADO WAY FORWARD,527 Political Organization,3000.0,2025-01-02 00:00:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
COLORADO WAY FORWARD,527 Political Organization,5000.0,2025-01-02 00:00:00,5280 Development,Denver,CO,80206,Consultant & Professional Services,
