committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
COLORADO CENTER PARTY CENTRAL COMMITTEE,Political Party Committee,12.52,2025-01-01 00:00:00,Digital Ocean,New York,NY,10013,Miscellaneous,
COLORADO INTELLECTUAL AND DEVELOPMENTAL DISABILITY ALLIANCE,Political Committee,10.0,2025-01-01 00:00:00,Wells Fargo,Denver,CO,80224,Bank Fees,Wells Fargo Fee
GREEN PARTY OF COLORADO,Political Party Committee,0.84,2025-01-01 00:00:00,Paypal,San Jose,CA,95131,Bank Fees,
GREENCO PC,Political Committee,5.0,2025-01-01 00:00:00,Firstbank,Glendale,CO,80246,Bank Fees,Entered Late Because The Bank Said They Weren'T Going To Charge Us And Then Did.
IAFF #3 SMALL DONOR ACCOUNT,Small Donor Committee,6676.74,2025-01-01 00:00:00,,,,,Other,"Balance Adjustment Due To Fraudulent Activity And Underreporting With Records I Cannot Access, Suspect Criminally Charged And In Judicial Process"
LUNDEEN LEADERSHIP FUND,Political Committee,21.6,2025-01-01 00:00:00,Google,Moutain Views,CA,94043,Other,6410 ∑ Registration & Hosting
BUILDING OWNERS AND MANAGERS ASSOCIATION POLITICAL COMMITTEE (BOMA),Political Committee,20.0,2025-01-02 00:00:00,Denver Metro Boma,Denver,CO,80202,Bank Fees,
COLORADO BIOSCIENCE PAC,Political Committee,20.0,2025-01-02 00:00:00,Wells Fargo Bank,Denver,CO,80203,Bank Fees,
COLORADO DEMOCRATIC PARTY,Political Party Committee,550.0,2025-01-02 00:00:00,Colorado Secretary Of State,Denver,CO,80290,Other,Fcpa Penalty
COLORADO DEMOCRATIC PARTY,Political Party Committee,3000.0,2025-01-02 00:00:00,Colorado Secretary Of State,Denver,CO,80290,Other,Fcpa Penalty
COLORADO DEMOCRATIC PARTY,Political Party Committee,22.5,2025-01-02 00:00:00,Firstbank,Lakewood,CO,80215,Bank Fees,Bank Fees
COLORADO DEMOCRATIC PARTY,Political Party Committee,450.0,2025-01-02 00:00:00,Numero,Irvine,CA,92618,Other,Bulk Software License Fee
COLORADO PROFESSIONAL FIRE FIGHTERS SMALL DONOR FUND,Small Donor Committee,3875.0,2025-01-02 00:00:00,Colorado House Majority Project,Denver,CO,80203,Contributions,Political Party Contribution
FENBERG LEADERSHIP FUND,Political Committee,134.6,2025-01-02 00:00:00,Google,Mountain View,CA,94035,Miscellaneous,Email Accounts
