District,candidate_name,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
House District 52,Yara Zokaie,9666,10/10/24,Black Opal Strat\C&D Print,Denver,CO,80229,Advertising,
House District 59,Naomi Riess,7000,9/30/25,Paul Eckenrode 360 Durango,Durango,CO,81301,Consultant & Professional Services,"Start Up Of Riess For Colorado Campaign. Marketing And Media Professional Services And Campaign Supplies Purchased.
Candidate Paid With Personal Check $7,000.00. (See Loan)"
House District 59,Naomi Riess,7000,9/30/25,Paul Eckenrode 360 Durango,Durango,CO,81301,Consultant & Professional Services,"Start Up Of Riess For Colorado Campaign. Marketing And Media Professional Services And Campaign Supplies Purchased.
Candidate Paid With Personal Check $7,000.00. (See Loan)"
House District 10,Junie Joseph,5000,12/29/25,Junie  Joseph,Boulder,CO,80303,Other,Campaign Reimbursement To Candidate For Expenses Paid Out Of Pocket
House District 11,Karen McCormick,5000,11/29/24,Karen A Mccormick,Redacted By Sos,CO,99999,Travel & Lodging,"Part One Reimbursement Of Miles Driven This Election Cycle 23-24 (Outside Of The 120 Day General Assembly Session)  (60% Of 25,000 Miles X $0.67/Mi)"
House District 11,Karen McCormick,5000,11/29/24,Karen A Mccormick,Redacted By Sos,CO,99999,Travel & Lodging,Part One Reimbursement Of Miles Driven This Election Cycle 22-24 (Outside Of The 120 Day General Assembly Session)  (14944 Miles X $0.67/Mi)
House District 11,Karen McCormick,5000,12/9/24,Karen A Mccormick,Redacted By Sos,CO,99999,Travel & Lodging,"Part Two Of Two Reimbursement Of Miles Driven This Election Cycle 23-24 (60% Of 25,000 Miles X $0.67/Mi)"
House District 11,Karen McCormick,5000,12/9/24,Karen A Mccormick,Redacted By Sos,CO,99999,Travel & Lodging,"Part Two Of Two Reimbursement Of Miles Driven This Election Cycle 23-24 (Outside Of General Assembly Session Time) (60% Of 25,000 Miles X $0.67/Mi)"
House District 11,Karen McCormick,5000,12/9/24,Karen A Mccormick,Redacted By Sos,CO,99999,Travel & Lodging,Part Two Of Two Reimbursement Of Miles Driven This Election Cycle 22-24 (Outside Of General Assembly Session Time) (14944 Miles X $0.67/Mi)
House District 52,Yara Zokaie,5000,10/7/24,"Complete Digital, Llc",Washington,DC,20003,Advertising,
House District 59,Naomi Riess,4865,11/25/25,Paul Eckenrode 360 Durango,Durango,CO,81301,Consultant & Professional Services,Campaign Consultant
House District 07,Jennifer Bacon,4242.14,3/17/25,United Airlines,Chicago,IL,60606,Travel & Lodging,
House District 03,Gena Ozols,4000,8/19/25,Henery  Standard,Denver,CO,80203,Employee Services,Salary For Staff Support
House District 06,Sean Camacho,3875,10/13/25,House Majority Project,Denver,CO,80203,Contributions,Contribution To House Majority Project
House District 08,Lindsay Gilchrist,3875,10/6/25,Colorado Democratic Party,Denver,CO,80203,Office Equipment & Supplies,Contribution To The House Majority Project
House District 26,Meghan Lukens,3875,12/31/25,Democratic House Majority Project,Denver,CO,80203,Contributions,Support For House Majority Project
House District 53,Andy Boesenecker,3875,2/4/25,Colorado Democratic Party,Denver,CO,80203,Other,Contribution For The Current Campaign Cycle
House District 31,Gabriel Cervantes,3121.69,8/12/25,Mjh Strategies,Lakewood,CO,80227,Consultant & Professional Services,Consultant Services
House District 31,Gabriel Cervantes,3075,8/29/25,Mjh Strategies,Lakewood,CO,80227,Consultant & Professional Services,
House District 31,Gabriel Cervantes,3075,9/17/25,Mjh Strategies,Lakewood,CO,80227,Consultant & Professional Services,
House District 16,Steph Vigil,3045,7/29/25,Pe Strategies,Colorado Springs,CO,80916,Consultant & Professional Services,Campaign Management
House District 16,Steph Vigil,3031,12/14/24,Pe Strategies,Colorado Springs,CO,80916,Consultant & Professional Services,Campaign Manager
House District 09,Monica VanBuskirk,3000,10/22/25,Eris Consulting Llc,Englewood,CO,80110,Consultant & Professional Services,Campaign Consulting
House District 12,Kyle Brown,3000,3/3/25,House Dems Petty Cash Fund,Denver,CO,80203,Other,Caucus Dues
House District 24,Lisa Feret,3000,12/30/24,"Feret & Associates, Llc",Arvada,CO,80003,Consultant & Professional Services,
House District 10,Junie Joseph,2992.28,5/13/24,Artist Proof Collective,Denver,CO,80204,Advertising,Campaign Flyers - This Expenditure Was Paid Out-Of-Pocket By The Candidate And Will Be Reimbursed By The Campaign.
House District 43,"Robert ""Bob"" Marshall",2724.25,10/28/24,Effectv,Boston,MA,02241,Advertising,Tv Ads - Amended To Reflect Actual Cost (Was 2935.05). Refund Was Issues 12-20-24
House District 58,Larry Don Suckla,2535,10/17/24,Hutton Broadcasting,Sante Fe,NM,87505,Advertising,
House District 58,Larry Don Suckla,2535,10/17/24,Hutton Broadcasting,Sante Fe,NM,87505,Advertising,Radio Advertising
House District 01,Javier Mabrey,2500,12/12/25,Colorado House Democrats Petty Cash Fund,Denver,CO,80203,Contributions,
House District 06,Sean Camacho,2500,12/5/24,House Democrat Party Cash Fund,Denver,CO,80203,Other,Caucus Dues
House District 10,Junie Joseph,2500,12/20/24,Colorado House Democrats,Denver,CO,80203,Other,Democratic Caucus Dues
House District 13,Miguel Martinez,2500,10/21/25,"Mcshane Llc, Dba: Rmc, Revolutionizing Microtargeted Campaigns",Las Vegas,NV,89117,Consultant & Professional Services,Prepare Website Miguel4Co.Com
House District 13,Miguel Martinez,2500,10/31/25,"Mcshane Llc, Dba: Rmc, Revolutionizing Microtargeted Campaigns",Las Vegas,NV,89117,Consultant & Professional Services,Prepare Website Miguel4Co.Com
House District 30,Rebekah Stewart,2500,3/3/25,Colorado Democratic Party,Denver,CO,80203,Other,Caucus Dues
House District 35,Lorena Garcia,2500,3/3/25,House Dems Petty Cash Fund,Denver,CO,80203,Contributions,House Dems Caucus Dues
House District 52,Yara Zokaie,2500,3/3/25,House Dems Petty Cash Fund,Denver,CO,80203,Other,Caucus Dues
House District 64,Scott L. Slaugh,2400,8/29/25,"Sws Polifi, Llc",Lafayette,CO,80026,Other,7500 ∑ Legal & Accounting
House District 25,Tammy Story,2389.5,11/5/24,The Sexton Group,Chicago,IL,60618,Advertising,Phone Banking
House District 08,Lindsay Gilchrist,2381.59,1/29/25,Shop The Shop,Denver,CO,80220,Office Equipment & Supplies,
House District 58,Larry Don Suckla,2338.69,11/7/24,Wizbang Solutions,Commerce City,CO,80022,Advertising,
House District 44,Bob Davis,2328.75,4/26/26,Patterson & Reid Llc,Palm Beach Gardens,FL,33418,Consultant & Professional Services,Final Payment For Political Consultants.
House District 41,Jamie Jackson,2302.63,12/8/25,Jamie  Jackson,Redacted By Sos,CO,99999,Other,Reimbursement To Candidate For Congressional Black Caucus Foundation Training
House District 13,Chris Floyd,2300,7/14/25,Practical Campaign Services,Centennial,CO,80122,Consultant & Professional Services,Campaign Advisory Services
House District 31,"Jacqueline ""Jacque"" Phillips",2250,10/10/25,Joshua  Lee,Denver,CO,80237,Consultant & Professional Services,Campaign Management Services
House District 44,Bob Davis,2250,4/2/26,Patterson & Reid Llc,Palm Beach Gardens,FL,33418,Consultant & Professional Services,Political Consulting Fees
House District 47,Ty Winter,2200,3/25/26,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7410 ∑ General Consultants
House District 49,Lesley Smith,2100.74,2/2/25,Mary Beth  Gentry,Denver,CO,80223,Consultant & Professional Services,Legislative Aide Salary
House District 01,Javier Mabrey,2000,3/17/25,Dan  Cao,Berkeley,CA,94704,Consultant & Professional Services,
House District 01,Javier Mabrey,2000,10/24/25,Colorado Democratic Party,Denver,CO,80203,Contributions,
House District 10,Junie Joseph,2000,4/1/25,Colorado Democratic Party,Denver,CO,80203,Other,Table At Event- Dems Fest
House District 23,Alexis Hoffkling,2000,11/19/25,Alexis P Hoffkling,Wheat Ridge,CO,80214,Advertising,Part 1 Reimbursement For Payment To Bright Star Strategies For Video Work; Part 2 On 11/24/2025
House District 30,Rebekah Stewart,2000,2/13/25,Colorado Democratic Party,Denver,CO,80203,Other,Hmp Contribution
House District 52,Yara Zokaie,2000,11/4/24,"Gregory Zoda, Consultant",Fort Collins,CO,80524,Consultant & Professional Services,
House District 57,Elizabeth Velasco,2000,10/31/25,Colorado Democratic Party,Denver,CO,80203,Miscellaneous,
House District 58,Larry Don Suckla,2000,10/23/24,Dawn  Brunson,Cortez,CO,81321,Consultant & Professional Services,Ck #200
House District 58,Larry Don Suckla,2000,11/4/24,Wizbang Solutions,Commerce City,CO,80022,Advertising,
House District 58,Larry Don Suckla,2000,11/7/24,Wizbang Solutions,Commerce City,CO,80022,Advertising,
