committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
SAFE AND HEALTHY COLORADO,Issue Committee,358.53,1/1/25,Google,Mountain View,CA,94043,Advertising,
CATS AREN'T TROPHIES,Issue Committee,108.47,1/2/25,Paragon Solution,Tempe,AZ,85282,Bank Fees,
COLORADANS FOR ACCOUNTABILITY,Issue Committee,750,1/2/25,Rkg Development,Lafayette,CO,80026,Consultant & Professional Services,Compliance Consulting
COLORADANS FOR PROTECTING REPRODUCTIVE FREEDOM,Issue Committee,8600,1/2/25,Rkg Development,Lafayette,CO,80026,Consultant & Professional Services,
COLORADANS FOR PROTECTING REPRODUCTIVE FREEDOM,Issue Committee,8000,1/2/25,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
GREAT EDUCATION COLORADO ISSUE COMMITTEE,Issue Committee,500,1/2/25,Rkg Development,Lafayette,CO,80026,Consultant & Professional Services,Compliance Consulting
SAFE AND HEALTHY COLORADO,Issue Committee,22.7,1/2/25,Paragon Payment Solutions,Tempe,AZ,85282,Bank Fees,
COLORADANS FOR PROTECTING REPRODUCTIVE FREEDOM,Issue Committee,3326.31,1/3/25,Corazon Printing,Broomfield,CO,80020,Other,Mugs
COLORADO LIFE INITIATIVE,Issue Committee,15.25,1/3/25,Cornerstone Merchant Services,Las Vegas,NV,89117,Bank Fees,Credit Card Processing Fees 12/3/24-12/16-24
VOTER RIGHTS COLORADO,Issue Committee,1500,1/3/25,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
CATS AREN'T TROPHIES,Issue Committee,2686.12,1/6/25,Alpha Graphics,Glendale,CO,80246,Other,Printing
CATS AREN'T TROPHIES,Issue Committee,30,1/6/25,Jp Morgan Chase,Denver,CO,80291,Bank Fees,
PUBLIC SCHOOLS STRONG,Issue Committee,500,1/6/25,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
COLORADO VOTERS FIRST DBA YES ON 131,Issue Committee,56.47,1/7/25,"Bill.Com, Llc",San Jose,CA,95002,Other,Accounting Software
PROTECT LOCAL CONTROL,Issue Committee,94,1/8/25,Ireland Stapleton Pryor & Pascoe,Denver,CO,80202,Other,Anticipated Legal Fees For Terminating The Committee.
PROTECT LOCAL CONTROL,Issue Committee,79.56,1/8/25,Special District Association,Denver,CO,80203,Contributions,Donation To Sda To Clear Funds From Committee In Order To Terminate Committee.
VOTER RIGHTS COLORADO,Issue Committee,7150,1/8/25,Coloradans For Accessible And Secure Elections,Denver,CO,80206,Contributions,
COLORADANS FOR PROTECTING REPRODUCTIVE FREEDOM,Issue Committee,70,1/9/25,Tierney Lawrence Stiles,Denver,CO,80203,Consultant & Professional Services,
KEEP COLORADO COLORADO,Issue Committee,94,1/9/25,Ireland Stapleton,Denver,CO,80202,Other,Estimated Legal Fees Related To The Closing Of The Committee.
KEEP COLORADO COLORADO,Issue Committee,73.98,1/9/25,Special District Association,Denver,CO,80203,Contributions,Contributions Returned To Sda To Close Out The Committee.
YES ON JJ,Issue Committee,1500,1/9/25,Keating Research,Mountain Village,CO,81435,Consultant & Professional Services,Research
YES ON JJ,Issue Committee,3205,1/9/25,Freestone Strategies,Denver,CO,80231,Consultant & Professional Services,Campaign Management
COLORADANS FOR PROTECTING REPRODUCTIVE FREEDOM,Issue Committee,65,1/10/25,Quickbooks,Mountain View,CA,94043,Office Equipment & Supplies,
"PROTECTING COLORADOíS ENVIRONMENT, ECONOMY, AND ENERGY INDEPENDENCE (PROTECT COLORADO)",Issue Committee,2400,1/10/25,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,
COLORADANS FOR ACCOUNTABILITY,Issue Committee,20.38,1/13/25,Fortis Private Bank,Denver,CO,80202,Bank Fees,
COLORADO LIFE INITIATIVE,Issue Committee,330.55,1/13/25,Flocknote,Magnolia,TX,77354,Miscellaneous,Software Fees 12/11/24-1/11/25
LET KIDS BE KIDS,Issue Committee,35,1/13/25,Campaign Partner,Still River,MA,01467,Advertising,Campaign Software - Web
VOTE NO ON 79,Issue Committee,35,1/13/25,Constant Contact,Waltham,MA,02451,Advertising,
VOTER RIGHTS COLORADO,Issue Committee,2351.26,1/13/25,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
COLORADO VOTERS FIRST DBA YES ON 131,Issue Committee,4954,1/14/25,Sherman & Howard L.L.C.,Denver,CO,80202,Other,Legal Services
COLORADO VOTERS FIRST DBA YES ON 131,Issue Committee,4564,1/14/25,Sherman & Howard L.L.C.,Denver,CO,80202,Other,Legal Services
COLORADANS FOR THE PROTECTION OF WOMEN AND CHILDREN,Issue Committee,9.95,1/15/25,Alpine Bank,Glenwood Springs,CO,81601,Bank Fees,Monthly Bank Svc Charge
COLORADO VOTERS FIRST DBA YES ON 131,Issue Committee,3000,1/15/25,"Eis Solutions, Llc D/B/A 76 Group",Denver,CO,80231,Other,Data Reimbursement
LET KIDS BE KIDS,Issue Committee,9.55,1/15/25,Alpine Bank,Glenwood Springs,CO,81601,Bank Fees,Monthly Bank Fee
CATS AREN'T TROPHIES,Issue Committee,159,1/16/25,"Labyrinth, Inc.",Carlsbad,CA,92013,Consultant & Professional Services,Compliance Consultants
COLORADANS FOR PROTECTING REPRODUCTIVE FREEDOM,Issue Committee,7106.49,1/16/25,Simple Majority,Missoula,MT,59801,Consultant & Professional Services,
YES ON JJ,Issue Committee,512.33,1/16/25,Zack'S Bar-B-Que,Hotchkiss,CO,81419,Gifts,
CATS AREN'T TROPHIES,Issue Committee,283.18,1/21/25,Jacqueline  Aaron,Boulder,CO,80304,Travel & Lodging,
VOTE NO ON 79,Issue Committee,36,1/21/25,Squarespace,New York,NY,10014,Advertising,
COLORADANS FOR PROTECTING REPRODUCTIVE FREEDOM,Issue Committee,956,1/22/25,Blue Mountain Strategies,Denver,CO,80223,Consultant & Professional Services,
"PROTECTING COLORADOíS ENVIRONMENT, ECONOMY, AND ENERGY INDEPENDENCE (PROTECT COLORADO)",Issue Committee,1750,1/23/25,Dwc Cpas,Grand Junction,CO,81502,Consultant & Professional Services,
FIREFIGHTERS FOR PUBLIC SAFETY,Issue Committee,36.14,1/27/25,,,,,Bank Fees,Bank Purchase Checkbook Dfdfcu
KEEP COLORADO MOVING,Issue Committee,13.65,1/27/25,E-File Magic,Portland,OR,97294,Other,Tax Expenses
LET KIDS BE KIDS,Issue Committee,17.21,1/27/25,Zoom,San Jose,CA,95113,Office Equipment & Supplies,Monthly Meeting Subscription
PUBLIC SCHOOLS STRONG,Issue Committee,500,1/27/25,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
YES ON JJ,Issue Committee,2669.42,1/28/25,Rkg Development,Superior,CO,80027,Consultant & Professional Services,Compliance Services
FRIENDS OF THE GONDOLA,Issue Committee,13300,1/29/25,Fort Partners,Fort Lauderdale,FL,33309,Other,Returned Funds.. Campaign Closed.
FRIENDS OF THE GONDOLA,Issue Committee,13300,1/29/25,Telluride Mountain Village Owners Association,Mountain Village,CO,81435,Other,Returned Funds. Campaign Close.
FRIENDS OF THE GONDOLA,Issue Committee,2100,1/29/25,Shaw Construction,Denver,CO,80223,Other,Returned Funds. Campaign Closed.
FRIENDS OF THE GONDOLA,Issue Committee,1216.05,1/29/25,Kerry  Donovan,Vail,CO,81657,Consultant & Professional Services,"Expenses - Postage, Supplies"
PUBLIC SCHOOLS STRONG,Issue Committee,10,1/31/25,,,,,Bank Fees,
THE GOOD INITIATIVES,Issue Committee,3,1/31/25,Elevations,Boulder,CO,80301,Bank Fees,Bank Statement Fee
