District,candidate_name,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Senate District 01,Byron Pelton,Republican,500,1/3/25,National Western Stpck Show Sale,Denver,CO,80216,Other,8100 ∑ Gifts & Donations
Senate District 01,Byron Pelton,Republican,500,1/3/25,Pera Parking,Denver,CO,80203,Other,7229 ∑ Parking Expense
Senate District 01,Byron Pelton,Republican,700,1/3/25,Senate Republican Caucus,Denver,CO,80203,Other,7218 ∑ Dues And Subscriptions
Senate District 01,Byron Pelton,Republican,400,1/3/25,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7520 ∑ Accounting Fees
Senate District 01,Byron Pelton,Republican,26.94,1/6/25,Taco Bell,Fort Morgan,CO,80731,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,68.69,1/8/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,6.76,1/8/25,,,,,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,85.67,1/13/25,11-Jul,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,54.76,1/13/25,Safeway Fuel,Greeley,CO,80634,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,52.88,1/16/25,11-Jul,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,4.61,1/16/25,Taco Bell,Fort Morgan,CO,80731,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,60.33,1/21/25,11-Jul,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,22.97,1/21/25,Starbucks,Sterling,CO,80751,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,23.27,1/21/25,Ziggi'S Coffee,Fort Morgan,CO,80701,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,181.87,1/22/25,Donn Bruns Llc,Arvada,CO,80005,Other,6300 ∑ Photography Expense
Senate District 01,Byron Pelton,Republican,1,1/23/25,,,,,Other,7229 ∑ Parking Expense
Senate District 01,Byron Pelton,Republican,19.03,1/27/25,11-Jul,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,36.22,1/27/25,11-Jul,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,10.08,1/27/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,13.7,1/27/25,,,,,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,37.74,1/27/25,Walmart,Sterling,CO,80751,Other,7214 ∑ Office Supplies
Senate District 01,Byron Pelton,Republican,44.53,1/28/25,Laloma,Denver,CO,80202,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,38.79,1/30/25,Qt 4216,Bennett,CO,80102,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,25.59,1/31/25,11-Jul,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,1.75,1/31/25,,,,,Other,7229 ∑ Parking Expense
Senate District 01,Byron Pelton,Republican,26.28,2/3/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,751.46,2/3/25,Hampton By Hilton,Montrosed,CO,81401,Other,7630 ∑ Lodging
Senate District 01,Byron Pelton,Republican,38.55,2/4/25,Seiconoco,Brighton,CO,80601,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,45.45,2/6/25,Texas Roadhouse,Denver,CO,80238,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,90.89,2/10/25,11-Jul,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,1,2/12/25,City Of Denver Parking,Denver,CO,80249,Other,7657 ∑ Vehicle Tolls And Parking
Senate District 01,Byron Pelton,Republican,9.76,2/13/25,Wix,New York,NY,10014,Other,6410 ∑ Registration & Hosting
Senate District 01,Byron Pelton,Republican,74.69,2/18/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,12.14,2/21/25,,,,,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,47.22,2/24/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,10.71,2/24/25,,,,,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,18.7,2/27/25,Ziggi'S Coffee,Fort Morgan,CO,80701,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,85.57,2/28/25,Conoco,Frisco,CO,80443,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,10.45,3/4/25,,,,,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,50,3/6/25,Circle K,Greeley,CO,80634,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,1471.07,3/7/25,United Airlines,Chicago,IL,60606,Other,7610 ∑ Air/Bus/Train Travel
Senate District 01,Byron Pelton,Republican,-1471.07,3/7/25,United Airlines,Chicago,IL,60606,Other,Offset Due To Deletion Of Filed Item - 7610 ∑ Air/Bus/Train Travel
Senate District 01,Byron Pelton,Republican,80.57,3/8/25,Casa Dona,Eaton,CO,80615,Other,6890 ∑ Other Meeting Expense
Senate District 01,Byron Pelton,Republican,11.51,3/9/25,Taco Bell,Fort Morgan,CO,80731,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,9.76,3/11/25,,,,,Other,7214 ∑ Office Supplies
Senate District 01,Byron Pelton,Republican,69.33,3/17/25,Bastiens,Denver,CO,80206,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,80.95,3/17/25,Circle K,Greeley,CO,80634,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,74.51,3/18/25,Qt 4216,Bennett,CO,80102,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,14.3,3/21/25,Ziggi'S Coffee,Fort Morgan,CO,80701,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,22.21,3/24/25,Shell Oil,Johnstown,CO,80634,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,29.28,3/25/25,Qt 4216,Bennett,CO,80102,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,48.53,3/26/25,Texas Roadhouse,Denver,CO,80238,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,39.25,3/27/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,31.56,3/31/25,Qt 4216,Bennett,CO,80102,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,10.79,4/7/25,,,,,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,25.49,4/7/25,Starbucks,Sterling,CO,80751,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,1,4/8/25,,,,,Other,7229 ∑ Parking Expense
Senate District 01,Byron Pelton,Republican,76.42,4/8/25,Qt 4216,Bennett,CO,80102,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,6.84,4/16/25,,,,,Other,7214 ∑ Office Supplies
Senate District 01,Byron Pelton,Republican,87.37,4/17/25,Bastiens,Denver,CO,80206,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,104.63,4/22/25,Qt 4216,Bennett,CO,80102,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,22.26,4/25/25,Ziggi'S Coffee,Fort Morgan,CO,80701,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,75.3,4/28/25,Food Mark,Sterling,CO,80751,Other,7214 ∑ Office Supplies
Senate District 01,Byron Pelton,Republican,59.57,4/28/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,62.77,5/1/25,Asian Cajun,Denver,CO,80223,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,80.15,5/2/25,Qt 4216,Bennett,CO,80102,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,39.4,5/6/25,Qt 4216,Bennett,CO,80102,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,39.63,5/8/25,Sam'S Club,Evans,CO,80620,Other,5140 ∑ Event Food & Beverage
Senate District 01,Byron Pelton,Republican,250,5/9/25,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7520 ∑ Accounting Fees
Senate District 01,Byron Pelton,Republican,19.31,5/12/25,Pret-A-Manager,Los Angeles,CA,90067,Consultant & Professional Services,
Senate District 01,Byron Pelton,Republican,36.98,5/29/25,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,38.66,5/30/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,73.41,6/9/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,17.78,6/12/25,,,,,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,13.41,6/16/25,Starbucks,Sterling,CO,80751,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,18.18,6/16/25,Taco Bell,Fort Morgan,CO,80731,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,27.14,6/20/25,Circle K,Greeley,CO,80634,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,23.22,6/20/25,Mccartys,Eaton,CO,80615,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,30.54,6/23/25,11-Jul,Keenesburg,CO,80643,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,66.37,6/23/25,Blue Sky Cafe,Lakewood,CO,80401,"Food, Beverages and Meals",
Senate District 01,Byron Pelton,Republican,193.4,6/24/25,Best Western,Lakewood,CO,80227,Other,7630 ∑ Lodging
Senate District 01,Byron Pelton,Republican,34.16,6/24/25,Pilot Travel,Hudson,CO,80642,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,20.19,6/27/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,61.29,6/30/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,79.97,6/30/25,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,29.61,7/2/25,Arbys,Greeley,CO,80634,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,76.58,7/2/25,Sam'S Club,Evans,CO,80620,Other,5140 ∑ Event Food & Beverage
Senate District 01,Byron Pelton,Republican,100,7/18/25,Colorado Secretary Of State,Denver,CO,80290,Other,"7790 ∑ Other Insur, Tax & Fees"
Senate District 01,Byron Pelton,Republican,450,7/18/25,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7520 ∑ Accounting Fees
Senate District 01,Byron Pelton,Republican,72.16,7/21/25,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,36.56,7/22/25,Pilot Travel,Hudson,CO,80642,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,45.97,7/23/25,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,27.11,7/25/25,Walmart,Sterling,CO,80751,Other,5190 ∑ Other Event Expense
Senate District 01,Byron Pelton,Republican,12,7/25/25,,,,,"Food, Beverages and Meals",Meals
Senate District 01,Byron Pelton,Republican,18.3,7/29/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,Byron Pelton,Republican,18.3,7/30/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,Byron Pelton,Republican,25,7/31/25,Kwik Stop,Holyoke,CO,80734,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,18.3,8/5/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,Byron Pelton,Republican,17.5,8/11/25,Sam'S Club,Evans,CO,80620,Other,5140 ∑ Event Food & Beverage
Senate District 01,Byron Pelton,Republican,49.18,8/12/25,La'Mariposa,Greeley,CO,80634,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,29.73,8/12/25,Pilot Travel,Hudson,CO,80642,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,9.6,8/14/25,In & Out Burger,Brighton,CO,80601,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,14.84,8/15/25,Pi Kappas Cino Coffee,Sterling,CO,80751,Other,6890 ∑ Other Meeting Expense
Senate District 01,Byron Pelton,Republican,31.4,8/18/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,40.2,8/18/25,Gasamat,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,12.01,8/18/25,In & Out Burger,Brighton,CO,80601,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,5.81,8/21/25,Mcdonalds,Silverthorne,CO,80498,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,18.52,8/21/25,Mcdonalds,Silverthorne,CO,80498,Other,7640 ∑ Meals
Senate District 01,Byron Pelton,Republican,34.6,8/25/25,Loaf & Jug,Pueblo,CO,81008,Other,7652 ∑ Vehicle Gas
Senate District 01,Byron Pelton,Republican,13.45,8/25/25,Mcdonalds,Silverthorne,CO,80498,Other,7640 ∑ Meals
