Office,candidate_name,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Governor,Phil Weiser,Democratic,50400,7/18/25,Greenberg Quinlan Rosner Research,Washington,DC,20005,Consultant & Professional Services,Polling
Attorney General,David Seligman,Democratic,36848.19,7/18/25,"Elevate Strategic Consulting, Inc.",Denver,CO,80206,Consultant & Professional Services,"Strategic Consulting, Software, Travel & Printing"
Attorney General,Michael Dougherty,Democratic,36058.9,11/13/25,Ascend Digital Strategies Llc,Washington,DC,20009,Consultant & Professional Services,
Governor,Michael Bennet,Democratic,35076.77,7/17/25,"Qct Production, Llc",Arlington,VA,22201,Fundraising Expenses,Direct Mail Services
Governor,Michael Bennet,Democratic,35000,10/6/25,Hilltop Public Solutions,Washington,DC,20007,Consultant & Professional Services,General Consulting
Governor,Michael Bennet,Democratic,34183.98,6/20/25,Missionwired,Washington,DC,20001,Fundraising Expenses,Postage
Governor,Phil Weiser,Democratic,33000,7/10/25,Ascend Digital Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Digital Ads And Acquisiton
Governor,Michael Bennet,Democratic,32418.68,10/6/25,Missionwired,Washington,DC,20001,Fundraising Expenses,Digital Advertising
Governor,Phil Weiser,Democratic,30800,4/3/25,Ascend Digital Strategies Llc,Washington,DC,20001,Fundraising Expenses,Digital Acquisition
Governor,Michael Bennet,Democratic,30029.08,11/23/25,"Qct Production, Llc",Arlington,VA,22201,Fundraising Expenses,Direct Mail Services
Governor,Phil Weiser,Democratic,29774.16,11/13/25,Village Square Llc,Washington,DC,20003,Consultant & Professional Services,Production Services And Travel
Attorney General,Michael Dougherty,Democratic,29194.29,12/11/25,Ascend Digital Strategies Llc,Washington,DC,20009,Consultant & Professional Services,
Governor,Michael Bennet,Democratic,28778.66,12/11/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,28134.75,9/10/25,Missionwired,Washington,DC,20001,Fundraising Expenses,List Acquisition
Governor,Phil Weiser,Democratic,27500,1/24/25,Ascend Digital Strategies Llc,Washington,DC,20001,Fundraising Expenses,Digital Acquisition
Governor,Phil Weiser,Democratic,27500,5/12/25,Colorado Democratic Party,Denver,CO,80203,Other,Data Services
Governor,Michael Bennet,Democratic,27089.36,10/15/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Attorney General,Hetal Doshi,Democratic,27002.5,7/16/25,New Blue Interactive,Bethesda,MD,20816,Consultant & Professional Services,
Governor,Michael Bennet,Democratic,26642.26,7/29/25,Missionwired,Washington,DC,20001,Fundraising Expenses,Postage
Governor,Michael Bennet,Democratic,25190.1,10/30/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,25190.1,11/25/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,25161.35,11/12/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,25000,10/29/25,Missionwired,Washington,DC,20001,Fundraising Expenses,List Acquisiion
Governor,Michael Bennet,Democratic,23000,7/17/25,"Global Strategy Group, Llc",New York,NY,10003,Consultant & Professional Services,Polling
Governor,Michael Bennet,Democratic,21831.76,7/22/25,Uplift,Berkeley,CA,94704,Fundraising Expenses,Texting
Governor,Michael Bennet,Democratic,21690.46,9/10/25,"Qct Production, Llc",Arlington,VA,22201,Fundraising Expenses,Direct Mail Services
Governor,Michael Bennet,Democratic,20898.82,10/2/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,20865.15,10/27/25,"Qct Production, Llc",Arlington,VA,22201,Fundraising Expenses,Direct Mail Services
Governor,Michael Bennet,Democratic,20711.89,11/13/25,"Qct Production, Llc",Arlington,VA,22201,Fundraising Expenses,Direct Mail Services
Governor,Michael Bennet,Democratic,20583.18,4/29/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,20000,10/27/25,Missionwired,Washington,DC,20001,Fundraising Expenses,List Acquisiion
Attorney General,Hetal Doshi,Democratic,19681.23,7/1/25,Declaration Media Llc,Greenville,SC,29609,Consultant & Professional Services,
Governor,Michael Bennet,Democratic,19141.85,5/14/25,Uplift,Berkeley,CA,94704,Fundraising Expenses,Texting
Governor,Phil Weiser,Democratic,19046.59,8/26/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,18984.83,9/12/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,18751.61,8/28/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Attorney General,David Seligman,Democratic,18406.34,6/18/25,Uplift,Berkeley,CA,94704,Consultant & Professional Services,Digital Fundraising Services
Governor,Michael Bennet,Democratic,17745.01,6/3/25,"Qct Production, Llc",Arlington,VA,22201,Fundraising Expenses,Direct Mail Services
Governor,Michael Bennet,Democratic,17386.94,9/30/25,Bennet For Colorado,Denver,CO,80201,Travel & Lodging,Reimbursement-Q2 Travel Itemized By Vendor And Date
Governor,Phil Weiser,Democratic,16956.63,9/25/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Phil Weiser,Democratic,16633.84,11/24/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Phil Weiser,Democratic,16633.84,12/26/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Phil Weiser,Democratic,16633.83,10/28/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Phil Weiser,Democratic,16610.83,10/10/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Phil Weiser,Democratic,16610.82,11/12/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Phil Weiser,Democratic,16610.82,12/10/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Phil Weiser,Democratic,16500,7/3/25,Ascend Digital Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Digital Ads And Acquisiton
Governor,Michael Bennet,Democratic,16265,7/17/25,Missionwired,Washington,DC,20001,Fundraising Expenses,Postage
Attorney General,David Seligman,Democratic,16000,6/11/25,Counsel Media Llc,Brooklyn,NY,11201,Consultant & Professional Services,Video Production Services
Governor,Michael Bennet,Democratic,15970.43,12/29/25,Elias Law Group,Washington,DC,20002,Consultant & Professional Services,Legal Fees
Governor,Michael Bennet,Democratic,15868.04,7/30/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,15639.15,8/20/25,Elias Law Group,Washington,DC,20002,Consultant & Professional Services,Legal Services
Governor,Michael Bennet,Democratic,15472.1,11/20/25,Missionwired,Washington,DC,20001,Fundraising Expenses,List Acquisiion
Governor,Phil Weiser,Democratic,15180.56,8/12/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Secretary of State,Jessie Danielson,Democratic,15142.2,8/25/25,Dialogue Digital,Lakewood,CO,80226,Consultant & Professional Services,
Governor,Michael Bennet,Democratic,15000,7/8/25,Chraca Friedman Group,Washington,DC,20002,Consultant & Professional Services,Fundraising Consulting
Governor,Victor Marx,Republican,15000,12/1/25,Superboost Llc,Colorado Springs,CO,80908,Other,Media Team / Production
Governor,Michael Bennet,Democratic,14997,5/16/25,"Ngp Van, Inc.",Washington,DC,20005,Office Equipment & Supplies,Software
Governor,Michael Bennet,Democratic,14997,8/12/25,"Ngp Van, Inc.",Washington,DC,20005,Office Equipment & Supplies,Software
Governor,Michael Bennet,Democratic,14923.36,8/14/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,14817.41,9/30/25,Missionwired,Washington,DC,20001,Fundraising Expenses,Postage
Governor,Barb Kirkmeyer,Republican,14675.74,11/20/25,"Madpax Strategies, Llc",Elizabeth,CO,80107,Other,7430 ∑ Fundraising Consultants
Governor,Michael Bennet,Democratic,14520.55,12/11/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Phil Weiser,Democratic,14348.26,9/10/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,14185.02,10/15/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Michael Bennet,Democratic,14000,10/10/25,Bercow Communications,Miami,FL,33133,Consultant & Professional Services,Communications Consulting
State Treasurer,Jeff Bridges,Democratic,14000,9/16/25,Hilltop Public Solutions,Washington,DC,20007,Consultant & Professional Services,
Governor,Michael Bennet,Democratic,13776.1,6/4/25,Uplift,Berkeley,CA,94704,Advertising,Texting
Governor,Michael Bennet,Democratic,13765.49,4/29/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll Taxes
Governor,Phil Weiser,Democratic,13558.13,6/25/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Phil Weiser,Democratic,13558.13,7/28/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Phil Weiser,Democratic,13540.88,6/10/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Phil Weiser,Democratic,13540.88,7/10/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
Governor,Michael Bennet,Democratic,13028.47,5/29/25,Gusto,San Francisco,CA,94107,Employee Services,Payroll
