committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
COLORADO CENTER PARTY CENTRAL COMMITTEE,Political Party Committee,12.52,1/1/25,Digital Ocean,New York,NY,10013,Miscellaneous,
COLORADO INTELLECTUAL AND DEVELOPMENTAL DISABILITY ALLIANCE,Political Committee,10,1/1/25,Wells Fargo,Denver,CO,80224,Bank Fees,Wells Fargo Fee
GREEN PARTY OF COLORADO,Political Party Committee,0.84,1/1/25,Paypal,San Jose,CA,95131,Bank Fees,
GREENCO PC,Political Committee,5,1/1/25,Firstbank,Glendale,CO,80246,Bank Fees,Entered Late Because The Bank Said They Weren'T Going To Charge Us And Then Did.
IAFF #3 SMALL DONOR ACCOUNT,Small Donor Committee,6676.74,1/1/25,,,,,Other,"Balance Adjustment Due To Fraudulent Activity And Underreporting With Records I Cannot Access, Suspect Criminally Charged And In Judicial Process"
LUNDEEN LEADERSHIP FUND,Political Committee,21.6,1/1/25,Google,Moutain Views,CA,94043,Other,6410 ∑ Registration & Hosting
BUILDING OWNERS AND MANAGERS ASSOCIATION POLITICAL COMMITTEE (BOMA),Political Committee,20,1/2/25,Denver Metro Boma,Denver,CO,80202,Bank Fees,
COLORADO BIOSCIENCE PAC,Political Committee,20,1/2/25,Wells Fargo Bank,Denver,CO,80203,Bank Fees,
COLORADO DEMOCRATIC PARTY,Political Party Committee,550,1/2/25,Colorado Secretary Of State,Denver,CO,80290,Other,Fcpa Penalty
COLORADO DEMOCRATIC PARTY,Political Party Committee,3000,1/2/25,Colorado Secretary Of State,Denver,CO,80290,Other,Fcpa Penalty
COLORADO DEMOCRATIC PARTY,Political Party Committee,22.5,1/2/25,Firstbank,Lakewood,CO,80215,Bank Fees,Bank Fees
COLORADO DEMOCRATIC PARTY,Political Party Committee,450,1/2/25,Numero,Irvine,CA,92618,Other,Bulk Software License Fee
COLORADO PROFESSIONAL FIRE FIGHTERS SMALL DONOR FUND,Small Donor Committee,3875,1/2/25,Colorado House Majority Project,Denver,CO,80203,Contributions,Political Party Contribution
FENBERG LEADERSHIP FUND,Political Committee,134.6,1/2/25,Google,Mountain View,CA,94035,Miscellaneous,Email Accounts
FRIENDS OF COLORADO HOSPITALS (F/K/A HOSPITALS EXPRESS LEGISLATIVE PREFERENCE),Political Committee,25.95,1/2/25,,,,,Bank Fees,Jan Merchant Fees
GREEN PARTY OF COLORADO,Political Party Committee,50,1/2/25,Your Office Usa,Denver,CO,80202,Rent & Utilities,
LIBERTARIAN PARTY OF COLORADO (LPCO),Political Party Committee,4.9,1/2/25,Stripe.Com,South San Francisco,CA,94080,Bank Fees,Credit Card Fees
MANNY RUTINEL LEADERSHIP FUND,Political Committee,74.62,1/2/25,Ny Times,New York,NY,10018,Other,Newspaper Subscription
MANNY RUTINEL LEADERSHIP FUND,Political Committee,100,1/2/25,Cherish Salazar For Thornton City Council,Thornton,CO,80260,Contributions,
REPUBLIC SERVICES INC. EMPLOYEES FOR BETTER GOVERNMENT PAC,Political Committee,-400,1/2/25,William For Colorado,Redacted By Sos,CO,99999,Returned Expenditure,Check Voided: Original Issue Date 10/24/2024
ROCKY MOUNTAIN HOME ASSOCIATION PAC (CMHA PAC FUND),Political Committee,12,1/2/25,Pnc Bank,Pittsburgh,PA,15222,Bank Fees,
ROCKY MOUNTAIN MECHANICAL CONTRACTORS ASSOCIATION PAC,Political Committee,450,1/2/25,Duran For Colorado,Wheat Ridge,CO,80033,Contributions,Contribution
THE COLEMAN LEADERSHIP FUND,Political Committee,1.03,1/2/25,Patreon,Pali Alto,CA,94306,Other,Subscription
VALDEZ FOR COLORADO RAINBOW FUND,Political Committee,15.09,1/2/25,Google Suite,Mountain View,CA,94043,Office Equipment & Supplies,
CALDWELL LEADERSHIP PAC,Political Committee,200,1/3/25,Polifi Llc,Fort Lupton,CO,80621,Consultant & Professional Services,
CENTENNIAL STATE LEADERSHIP COMMITTEE,Political Committee,350,1/3/25,Strengthening Opportunities For Coloradans (Soco) Pac,Pueblo,CO,81005,Contributions,
COLORADO DEMOCRATIC PARTY,Political Party Committee,20.84,1/3/25,Firstbank,Lakewood,CO,80215,Bank Fees,Bank Fees
COLORADO DEMOCRATIC PARTY,Political Party Committee,53.84,1/3/25,Firstbank,Lakewood,CO,80215,Bank Fees,Bank Fees
COLORADO DEMOCRATIC PARTY,Political Party Committee,0.28,1/3/25,Firstbank,Lakewood,CO,80215,Bank Fees,Bank Fees
COLORADO DEMOCRATIC PARTY,Political Party Committee,2242.47,1/3/25,Michael S Merrifield,Arvada,CO,80005,Employee Services,Payroll
COLORADO DEMOCRATIC PARTY,Political Party Committee,11.95,1/3/25,,,,,Miscellaneous,"Reimbursement - Snacks, Water"
COLORADO DEMOCRATIC PARTY,Political Party Committee,1248.26,1/3/25,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
COLORADO DEMOCRATIC PARTY,Political Party Committee,999.13,1/3/25,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
COLORADO DEMOCRATIC PARTY,Political Party Committee,5.75,1/3/25,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
COLORADO DEMOCRATIC PARTY,Political Party Committee,2585.42,1/3/25,Marykate  Wallace,Lafayette,CO,80026,Employee Services,Payroll
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,450,1/3/25,John  Carson,Highlands Ranch,CO,80130,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,450,1/3/25,Shannon  Bird,Redacted By Sos,CO,99999,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,200,1/3/25,Gretchen For Colorado,Redacted By Sos,CO,99999,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,200,1/3/25,Javier For Colorado,Denver,CO,80219-5033,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,2500,1/3/25,Colorado Forward Party Committee,Westminster,CO,80031,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,600,1/3/25,New Day Colorado Fund,Fort Lupton,CO,80621,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,2500,1/3/25,All Together Colorado,Denver,CO,80206,Contributions,
COLORADO INDEPENDENT AUTO DEALERS POLITICAL COMMITTEE,Political Committee,1000,1/3/25,Senate Majority Fund,Denver,CO,80205,Contributions,
COLORADO MEDICAL SOCIETY SMALL DONOR COMMITTEE,Small Donor Committee,14.3,1/3/25,Wells Fargo Bank,Portland,OR,97228,Bank Fees,
COLORADO OPTOMETRIC ASSOCIATION SMALL DONOR COMMITTEE,Small Donor Committee,3000,1/3/25,Colorado Democratic Party,Denver,CO,80203,Contributions,
